name,description,type,level,sort,lessonNum,hoursForLearn,usedNum,recommendNum,lesson,subLesson,sort,useModule,useCollection,dataExtractCondition
"","","","","","","","","","Bài 18","Luyện tập","1353","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson18,'}}"
"","","","","","","","","","Bài 19","Từ vựng","1354","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson19,'}}"
"","","","","","","","","","Bài 19","Luyện tập","1355","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson19,'}}"
"","","","","","","","","","Bài 20","Từ vựng","1356","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson20,'}}"
"","","","","","","","","","Bài 20","Luyện tập","1357","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson20,'}}"
"","","","","","","","","","Bài 21","Từ vựng","1358","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson21,'}}"
"","","","","","","","","","Bài 21","Luyện tập","1359","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson21,'}}"
"","","","","","","","","","Bài 22","Từ vựng","1360","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson22,'}}"
"","","","","","","","","","Bài 22","Luyện tập","1361","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson22,'}}"
"","","","","","","","","","Bài 23","Từ vựng","1362","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson23,'}}"
"","","","","","","","","","Bài 23","Luyện tập","1363","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson23,'}}"
"","","","","","","","","","Bài 24","Từ vựng","1364","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson24,'}}"
"","","","","","","","","","Bài 24","Luyện tập","1365","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson24,'}}"
"","","","","","","","","","Bài 25","Từ vựng","1366","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson25,'}}"
"","","","","","","","","","Bài 25","Luyện tập","1367","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson25,'}}"
"","","","","","","","","","Bài 26","Từ vựng","1368","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson26,'}}"
"","","","","","","","","","Bài 26","Luyện tập","1369","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson26,'}}"
"","","","","","","","","","Bài 27","Từ vựng","1370","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson27,'}}"
"","","","","","","","","","Bài 27","Luyện tập","1371","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson27,'}}"
"","","","","","","","","","Bài 28","Từ vựng","1372","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson28,'}}"
"","","","","","","","","","Bài 28","Luyện tập","1373","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson28,'}}"
"","","","","","","","","","Bài 29","Từ vựng","1374","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson29,'}}"
"","","","","","","","","","Bài 29","Luyện tập","1375","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson29,'}}"
"","","","","","","","","","Bài 30","Từ vựng","1376","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson30,'}}"
"","","","","","","","","","Bài 30","Luyện tập","1377","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson30,'}}"
"","","","","","","","","","Bài 31","Từ vựng","1378","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson31,'}}"
"","","","","","","","","","Bài 31","Luyện tập","1379","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson31,'}}"
"","","","","","","","","","Bài 32","Từ vựng","1380","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson32,'}}"
"","","","","","","","","","Bài 32","Luyện tập","1381","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson32,'}}"
"","","","","","","","","","Bài 33","Từ vựng","1382","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson33,'}}"
"","","","","","","","","","Bài 33","Luyện tập","1383","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson33,'}}"
"","","","","","","","","","Bài 34","Từ vựng","1384","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson34,'}}"
"","","","","","","","","","Bài 34","Luyện tập","1385","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson34,'}}"
"","","","","","","","","","Bài 35","Từ vựng","1386","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson35,'}}"
"","","","","","","","","","Bài 35","Luyện tập","1387","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson35,'}}"
"","","","","","","","","","Bài 36","Từ vựng","1388","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson36,'}}"
"","","","","","","","","","Bài 36","Luyện tập","1389","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson36,'}}"
"","","","","","","","","","Bài 37","Từ vựng","1390","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson37,'}}"
"","","","","","","","","","Bài 37","Luyện tập","1391","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson37,'}}"
"","","","","","","","","","Bài 38","Từ vựng","1392","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson38,'}}"
"","","","","","","","","","Bài 38","Luyện tập","1393","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson38,'}}"
"","","","","","","","","","Bài 39","Từ vựng","1394","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson39,'}}"
"","","","","","","","","","Bài 39","Luyện tập","1395","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson39,'}}"
"","","","","","","","","","Bài 40","Từ vựng","1396","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson40,'}}"
"","","","","","","","","","Bài 40","Luyện tập","1397","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung3,lesson40,'}}"
"Bộ từ vựng N2 tập 4","Danh sách 2600 từ vựng N2","vocabulary","N2","4109","45","45","","","Bài 1","Từ vựng","1398","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson1,'}}"
"","","","","","","","","","Bài 1","Luyện tập","1399","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson1,'}}"
"","","","","","","","","","Bài 2","Từ vựng","1400","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson2,'}}"
"","","","","","","","","","Bài 2","Luyện tập","1401","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson2,'}}"
"","","","","","","","","","Bài 3","Từ vựng","1402","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson3,'}}"
"","","","","","","","","","Bài 3","Luyện tập","1403","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson3,'}}"
"","","","","","","","","","Bài 4","Từ vựng","1404","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson4,'}}"
"","","","","","","","","","Bài 4","Luyện tập","1405","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson4,'}}"
"","","","","","","","","","Bài 5","Từ vựng","1406","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson5,'}}"
"","","","","","","","","","Bài 5","Luyện tập","1407","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson5,'}}"
"","","","","","","","","","Bài 6","Từ vựng","1408","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson6,'}}"
"","","","","","","","","","Bài 6","Luyện tập","1409","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson6,'}}"
"","","","","","","","","","Bài 7","Từ vựng","1410","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson7,'}}"
"","","","","","","","","","Bài 7","Luyện tập","1411","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson7,'}}"
"","","","","","","","","","Bài 8","Từ vựng","1412","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson8,'}}"
"","","","","","","","","","Bài 8","Luyện tập","1413","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson8,'}}"
"","","","","","","","","","Bài 9","Từ vựng","1414","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson9,'}}"
"","","","","","","","","","Bài 9","Luyện tập","1415","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson9,'}}"
"","","","","","","","","","Bài 10","Từ vựng","1416","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson10,'}}"
"","","","","","","","","","Bài 10","Luyện tập","1417","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson10,'}}"
"","","","","","","","","","Bài 11","Từ vựng","1418","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson11,'}}"
"","","","","","","","","","Bài 11","Luyện tập","1419","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson11,'}}"
"","","","","","","","","","Bài 12","Từ vựng","1420","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson12,'}}"
"","","","","","","","","","Bài 12","Luyện tập","1421","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson12,'}}"
"","","","","","","","","","Bài 13","Từ vựng","1422","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson13,'}}"
"","","","","","","","","","Bài 13","Luyện tập","1423","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson13,'}}"
"","","","","","","","","","Bài 14","Từ vựng","1424","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson14,'}}"
"","","","","","","","","","Bài 14","Luyện tập","1425","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson14,'}}"
"","","","","","","","","","Bài 15","Từ vựng","1426","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson15,'}}"
"","","","","","","","","","Bài 15","Luyện tập","1427","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson15,'}}"
"","","","","","","","","","Bài 16","Từ vựng","1428","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson16,'}}"
"","","","","","","","","","Bài 16","Luyện tập","1429","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson16,'}}"
"","","","","","","","","","Bài 17","Từ vựng","1430","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson17,'}}"
"","","","","","","","","","Bài 17","Luyện tập","1431","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson17,'}}"
"","","","","","","","","","Bài 18","Từ vựng","1432","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson18,'}}"
"","","","","","","","","","Bài 18","Luyện tập","1433","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson18,'}}"
"","","","","","","","","","Bài 19","Từ vựng","1434","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson19,'}}"
"","","","","","","","","","Bài 19","Luyện tập","1435","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson19,'}}"
"","","","","","","","","","Bài 20","Từ vựng","1436","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson20,'}}"
"","","","","","","","","","Bài 20","Luyện tập","1437","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson20,'}}"
"","","","","","","","","","Bài 21","Từ vựng","1438","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson21,'}}"
"","","","","","","","","","Bài 21","Luyện tập","1439","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson21,'}}"
"","","","","","","","","","Bài 22","Từ vựng","1440","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson22,'}}"
"","","","","","","","","","Bài 22","Luyện tập","1441","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson22,'}}"
"","","","","","","","","","Bài 23","Từ vựng","1442","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson23,'}}"
"","","","","","","","","","Bài 23","Luyện tập","1443","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson23,'}}"
"","","","","","","","","","Bài 24","Từ vựng","1444","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson24,'}}"
"","","","","","","","","","Bài 24","Luyện tập","1445","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson24,'}}"
"","","","","","","","","","Bài 25","Từ vựng","1446","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson25,'}}"
"","","","","","","","","","Bài 25","Luyện tập","1447","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson25,'}}"
"","","","","","","","","","Bài 26","Từ vựng","1448","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson26,'}}"
"","","","","","","","","","Bài 26","Luyện tập","1449","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson26,'}}"
"","","","","","","","","","Bài 27","Từ vựng","1450","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson27,'}}"
"","","","","","","","","","Bài 27","Luyện tập","1451","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson27,'}}"
"","","","","","","","","","Bài 28","Từ vựng","1452","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson28,'}}"
"","","","","","","","","","Bài 28","Luyện tập","1453","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson28,'}}"
"","","","","","","","","","Bài 29","Từ vựng","1454","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson29,'}}"
"","","","","","","","","","Bài 29","Luyện tập","1455","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson29,'}}"
"","","","","","","","","","Bài 30","Từ vựng","1456","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson30,'}}"
"","","","","","","","","","Bài 30","Luyện tập","1457","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson30,'}}"
"","","","","","","","","","Bài 31","Từ vựng","1458","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson31,'}}"
"","","","","","","","","","Bài 31","Luyện tập","1459","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson31,'}}"
"","","","","","","","","","Bài 32","Từ vựng","1460","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson32,'}}"
"","","","","","","","","","Bài 32","Luyện tập","1461","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson32,'}}"
"","","","","","","","","","Bài 33","Từ vựng","1462","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson33,'}}"
"","","","","","","","","","Bài 33","Luyện tập","1463","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson33,'}}"
"","","","","","","","","","Bài 34","Từ vựng","1464","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson34,'}}"
"","","","","","","","","","Bài 34","Luyện tập","1465","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson34,'}}"
"","","","","","","","","","Bài 35","Từ vựng","1466","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson35,'}}"
"","","","","","","","","","Bài 35","Luyện tập","1467","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson35,'}}"
"","","","","","","","","","Bài 36","Từ vựng","1468","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson36,'}}"
"","","","","","","","","","Bài 36","Luyện tập","1469","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson36,'}}"
"","","","","","","","","","Bài 37","Từ vựng","1470","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson37,'}}"
"","","","","","","","","","Bài 37","Luyện tập","1471","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson37,'}}"
"","","","","","","","","","Bài 38","Từ vựng","1472","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson38,'}}"
"","","","","","","","","","Bài 38","Luyện tập","1473","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson38,'}}"
"","","","","","","","","","Bài 39","Từ vựng","1474","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson39,'}}"
"","","","","","","","","","Bài 39","Luyện tập","1475","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson39,'}}"
"","","","","","","","","","Bài 40","Từ vựng","1476","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson40,'}}"
"","","","","","","","","","Bài 40","Luyện tập","1477","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson40,'}}"
"","","","","","","","","","Bài 41","Từ vựng","1478","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson41,'}}"
"","","","","","","","","","Bài 41","Luyện tập","1479","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson41,'}}"
"","","","","","","","","","Bài 42","Từ vựng","1480","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson42,'}}"
"","","","","","","","","","Bài 42","Luyện tập","1481","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson42,'}}"
"","","","","","","","","","Bài 43","Từ vựng","1482","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson43,'}}"
"","","","","","","","","","Bài 43","Luyện tập","1483","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson43,'}}"
"","","","","","","","","","Bài 44","Từ vựng","1484","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson44,'}}"
"","","","","","","","","","Bài 44","Luyện tập","1485","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson44,'}}"
"","","","","","","","","","Bài 45","Từ vựng","1486","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson45,'}}"
"","","","","","","","","","Bài 45","Luyện tập","1487","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung4,lesson45,'}}"
"Bộ từ vựng N2 tập 5","Danh sách 2600 từ vựng N2","vocabulary","N2","4110","47","47","","","Bài 1","Từ vựng","1488","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson1,'}}"
"","","","","","","","","","Bài 1","Luyện tập","1489","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson1,'}}"
"","","","","","","","","","Bài 2","Từ vựng","1490","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson2,'}}"
"","","","","","","","","","Bài 2","Luyện tập","1491","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson2,'}}"
"","","","","","","","","","Bài 3","Từ vựng","1492","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson3,'}}"
"","","","","","","","","","Bài 3","Luyện tập","1493","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson3,'}}"
"","","","","","","","","","Bài 4","Từ vựng","1494","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson4,'}}"
"","","","","","","","","","Bài 4","Luyện tập","1495","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson4,'}}"
"","","","","","","","","","Bài 5","Từ vựng","1496","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson5,'}}"
"","","","","","","","","","Bài 5","Luyện tập","1497","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson5,'}}"
"","","","","","","","","","Bài 6","Từ vựng","1498","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson6,'}}"
"","","","","","","","","","Bài 6","Luyện tập","1499","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson6,'}}"
"","","","","","","","","","Bài 7","Từ vựng","1500","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson7,'}}"
"","","","","","","","","","Bài 7","Luyện tập","1501","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson7,'}}"
"","","","","","","","","","Bài 8","Từ vựng","1502","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson8,'}}"
"","","","","","","","","","Bài 8","Luyện tập","1503","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson8,'}}"
"","","","","","","","","","Bài 9","Từ vựng","1504","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson9,'}}"
"","","","","","","","","","Bài 9","Luyện tập","1505","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson9,'}}"
"","","","","","","","","","Bài 10","Từ vựng","1506","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson10,'}}"
"","","","","","","","","","Bài 10","Luyện tập","1507","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson10,'}}"
"","","","","","","","","","Bài 11","Từ vựng","1508","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson11,'}}"
"","","","","","","","","","Bài 11","Luyện tập","1509","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson11,'}}"
"","","","","","","","","","Bài 12","Từ vựng","1510","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson12,'}}"
"","","","","","","","","","Bài 12","Luyện tập","1511","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson12,'}}"
"","","","","","","","","","Bài 13","Từ vựng","1512","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson13,'}}"
"","","","","","","","","","Bài 13","Luyện tập","1513","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson13,'}}"
"","","","","","","","","","Bài 14","Từ vựng","1514","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson14,'}}"
"","","","","","","","","","Bài 14","Luyện tập","1515","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson14,'}}"
"","","","","","","","","","Bài 15","Từ vựng","1516","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson15,'}}"
"","","","","","","","","","Bài 15","Luyện tập","1517","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson15,'}}"
"","","","","","","","","","Bài 16","Từ vựng","1518","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson16,'}}"
"","","","","","","","","","Bài 16","Luyện tập","1519","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson16,'}}"
"","","","","","","","","","Bài 17","Từ vựng","1520","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson17,'}}"
"","","","","","","","","","Bài 17","Luyện tập","1521","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson17,'}}"
"","","","","","","","","","Bài 18","Từ vựng","1522","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson18,'}}"
"","","","","","","","","","Bài 18","Luyện tập","1523","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson18,'}}"
"","","","","","","","","","Bài 19","Từ vựng","1524","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',2600tuvung5,lesson19,'}}"
