"はじめまして。私はクオンです。","Tôi tên là Cường.  ","5","N4","1",",speechN4,lesson1,"
"ベトナムから来ました。","Tôi từ Việt Nam đến.  ","5","N4","2",",speechN4,lesson1,"
"よろしくお願いします","Rất hân hạnh được làm quen.","5","N4","3",",speechN4,lesson1,"
"おはようございます ","Xin chào (buổi sáng)","5","N4","4",",speechN4,lesson1,"
"こんにちは ","Xin chào (buổi trưa, buổi chiều)","5","N4","5",",speechN4,lesson1,"
"こんばんは","Xin chào (chiều muộn và tối) ","5","N4","6",",speechN4,lesson1,"
"さようなら","Tạm biệt ","5","N4","7",",speechN4,lesson1,"
"クオンさん。これがあなたの名刺です。","Anh Cường ơi,  Đây là danh thiếp của anh.","5","N4","1",",speechN4,lesson2,"
"ありがとうございます。","Xin cảm ơn chị.  ","5","N4","2",",speechN4,lesson2,"
"それは何ですか？ ","Đấy là cái gì ạ? ","5","N4","3",",speechN4,lesson2,"
"これは社員証(しゃいんしょう)です。","Đây là thẻ nhân viên． ","5","N4","4",",speechN4,lesson2,"
"クオンさん、ちょっと…。","Anh Cường ơi, tôi gặp anh một chút được không?","5","N4","1",",speechN4,lesson3,"
"はい。","OK","5","N4","2",",speechN4,lesson3,"
"今日、これから会議があります。出て下さい。","Hôm nay, sắp có một cuộc họp. Anh hãy tham dự nhé! ","5","N4","3",",speechN4,lesson3,"
"はい、わかりました。 ","Vâng, tôi hiểu rồi. ","5","N4","4",",speechN4,lesson3,"
"場所はどこですか？ ","Địa điểm là ở đâu ạ? ","5","N4","5",",speechN4,lesson3,"
"いま何時ですか？ ","Bây giờ là mấy giờ ạ? ","5","N4","1",",speechN4,lesson4,"
"よじじゅうごふんです。 ","4 giờ 15 phút. ","5","N4","2",",speechN4,lesson4,"
"会議は何時に終わりますか？ ","Cuộc họp kết thúc mấy giờ ạ? ","5","N4","3",",speechN4,lesson4,"
"５時ごろですよ。","Khoảng 5 giờ đấy. ","5","N4","4",",speechN4,lesson4,"
"山田さん、一緒に帰りませんか？ ","Chị Yamada ơi, chị có về cùng với tôi không? ","5","N4","1",",speechN4,lesson5,"
"ごめんなさい。 まだ仕事が終わりません。クオンさんも手伝ってください。","Tôi xin lỗi. Công việc của tôi vẫn chưa xong. Anh Cường hãy giúp tôi với.","5","N4","2",",speechN4,lesson5,"
"えーと、今日は残業できません。","Umm… hôm nay tôi không thể làm thêm giờ được.","5","N4","3",",speechN4,lesson5,"
"明日の朝、市役所と銀⾏に⾏ってから、 会社に来ます。","Sáng mai, tôi đi tòa thị chính và ngân hàng, rồi sau đó đến công ty ạ.","5","N4","1",",speechN4,lesson6,"
"そうですか。午前中に市役所と銀⾏ですね。","Vậy à?  Buổi sáng, cậu đi tòa thị chính và ngân hàng hả?","5","N4","2",",speechN4,lesson6,"
"はい。銀⾏で口座を開きます。","Vâng. Tôi sẽ mở một tài khoản ở ngân hàng. ","5","N4","3",",speechN4,lesson6,"
"今日はどのようなご用件ですか？ ","Tôi có thể giúp gì ạ?","5","N4","1",",speechN4,lesson7,"
"口座を開きたいんですが…。","Tôi muốn mở một tài khoản…","5","N4","2",",speechN4,lesson7,"
